id,title,employer,location,published,description,webpage_url
31465090,ECP - Model Developer and Analyst,Swedbank AB,Sundbyberg,2026-09-11T09:34:13,"Are you looking for a challenge within Financial Crime Prevention, with a focus on Economic Crime Prevention Models and Hybrid Detection?

In Swedbank you have the opportunity to:
Explore risks and translate intelligence into recurring controls to improve risk coverage in the bank's control environm",https://arbetsformedlingen.se/platsbanken/annonser/31465090
31429441,AI Engineer,SAVR AB,Stockholm,2026-09-02T14:11:38,"SAVR is a fast-growing Swedish fintech company on a mission to reinvent investing. We empower investors with a platform that offers lower fees, greater transparency, and a radically improved experience.
We’re not just building another investment service — we’re reimagining how financial products sho",https://arbetsformedlingen.se/platsbanken/annonser/31429441
31379924,AI developer,Synteda AB,Göteborg,2026-08-21T08:38:45,"Are you a talented AI Developer with a passion for cutting-edge technology? We are looking for someone like you to join our team of experts in developing innovative platforms and products. As an AI Developer, you will use your expertise in machine learning, deep learning, and computer vision to driv",https://arbetsformedlingen.se/platsbanken/annonser/31379924
31378920,AI Architect,Knowit Aktiebolag (publ),Örebro,2026-08-20T16:48:28,"You’re an experienced AI architect who wants to turn applied AI into scalable, production-grade systems while helping clients create tangible business value.
As a senior consultant, you will work across the full lifecycle of applied AI, from strategy and architecture to implementation, deployment, a",https://arbetsformedlingen.se/platsbanken/annonser/31378920
31376782,AI Architect,Knowit Aktiebolag (publ),Stockholm,2026-08-20T12:54:36,"You’re an experienced AI architect who wants to turn applied AI into scalable, production-grade systems while helping clients create tangible business value.
As a senior consultant, you will work across the full lifecycle of applied AI, from strategy and architecture to implementation, deployment, a",https://arbetsformedlingen.se/platsbanken/annonser/31376782
30991050,AI Engineer,Umain AB,Stockholm,2026-05-04T15:58:59,"At Umain, we're not just creating software; we're crafting the future, one innovative project at a time. With our motto ""Shape, Ship, Scale,"" we empower our team to not only envision the future but also play a pivotal role in building it. We're a dynamic team where you can shape the future, ship gro",https://arbetsformedlingen.se/platsbanken/annonser/30991050
31420374,AI Software Engineer,Jobway AB,Stockholm,2026-08-31T21:28:15,"Är du en utvecklare som gärna bygger hela lösningen från idé till färdig produkt? Brinner du för AI, modern teknik och att ligga i framkant av utvecklingen? Då kan detta vara möjligheten för dig! Ansök redan idag!
I rollen som AI Software Engineer hos Qrendo blir du en viktig del av ett litet, snabb",https://arbetsformedlingen.se/platsbanken/annonser/31420374
31240943,Lead AI Architect,Iver Accelerate AB,Göteborg,2026-07-02T13:45:57,"Bygg nästa generations AI-lösningar – från idé till produktion
AI förändrar hur organisationer arbetar, fattar beslut och skapar värde. Men att gå från experiment till skalbara AI-lösningar i produktion är fortfarande en av de största utmaningarna för många organisationer.
Är du trött på att AI fast",https://arbetsformedlingen.se/platsbanken/annonser/31240943
31485568,Senior AI Engineer,PLAYipp AB,Gävle,2026-09-16T15:15:21,"We're looking for a Senior AI Engineer
Join us in transforming the digital signage landscape. PLAYipp, the leading Nordic digital signage company, is seeking a senior engineer to own features end-to-end — from PRD to Production — which increasingly include building AI capabilities directly into our ",https://arbetsformedlingen.se/platsbanken/annonser/31485568
31480997,Spectrum AI scientist,Ericsson AB,Stockholm,2026-09-15T16:25:02,"Company description:
Ericsson AB
Job description:   Join our Team   About this opportunity:
 Are you a recent graduate passionate about digital design? Join our Ericsson Radio team of HW and SW engineers building high-performance hardware for today’s and future mobile standards, including 6G.  Our m",https://arbetsformedlingen.se/platsbanken/annonser/31480997
31475629,AI Solutions Engineer,AuraGroup AB,Stockholm,2026-09-14T16:33:59,"Build AI that works in the real world
We are looking for an AI Solutions Engineer who wants to build AI solutions that work inside client environments, pass their security reviews and keep running after the project closes. This is not about prototypes or pilots. It is about getting solutions into pr",https://arbetsformedlingen.se/platsbanken/annonser/31475629
31472123,AI Platform Engineer,"Nordea Bank Abp, filial i Sverige",Stockholm,2026-09-14T10:21:00,"Job ID: 3525
We are looking for an AI Platform Engineer to drive the development and adoption of AI-powered solutions that strengthen our ability to detect and investigate financial crime. The role is permanent and can be based in Helsinki, Tallinn, Poland or Stockholm.
About our team
Meet the Data ",https://arbetsformedlingen.se/platsbanken/annonser/31472123
31469159,Senior AI Engineer,Columbus Sweden AB,Stockholm,2026-09-11T16:31:09,"About this role
Enterprise software is going through its biggest shift in decades. Applications are moving from deterministic workflows to intelligent, agentic systems that understand context, remember preferences, and act on behalf of users. This isn’t a future prediction — it’s happening now, and ",https://arbetsformedlingen.se/platsbanken/annonser/31469159
31284834,AI Enablement Engineer,Xensam AB,Stockholm,2026-07-20T16:35:44,"Xensam: Join the Future of SAM Xensam is the leader in AI-powered, cloud-based Software Asset Management. Our technology brings clarity to complex IT environments, helping users make smart, data-driven decisions and maximize software ROI.
Recognized with the Highest Growth Award and ranked #3 Overal",https://arbetsformedlingen.se/platsbanken/annonser/31284834
31256366,Senior AI Engineer,Workday Sweden Aktiebolag,Stockholm,2026-07-07T15:57:40,"Sana is an AI lab building superintelligence for work. We believe organizations can accomplish their missions faster when teams can effortlessly access knowledge, automate repetitive work, and learn anything with the help of agentic AI. As part of Workday, we are committed to building AI that augmen",https://arbetsformedlingen.se/platsbanken/annonser/31256366
31030395,AI Program Manager,Hitachi Energy Sweden AB,Västerås,2026-05-12T15:21:00,"The opportunity
Hitachi Energy is establishing an AI Center of Competence (AI CoC) within HVDC Engineering to accelerate the adoption of Artificial Intelligence across engineering, project delivery, operations, and lifecycle services. 
We are seeking a highly driven AI Program Manager to build this ",https://arbetsformedlingen.se/platsbanken/annonser/31030395
30991161,AI Tech Director,Umain AB,Stockholm,2026-05-04T16:06:51,"Who We Are
Umain, part of the Nordic consulting house Eidra, specializes in accelerating top-line growth through digital strategy and innovation. We’re a fast-growing consultancy already partnering with industry leaders—from cutting-edge automotive brands to forward-looking tech companies. Together ",https://arbetsformedlingen.se/platsbanken/annonser/30991161
31457523,Senior konsult AI Engineering & Modern AI | Stockholm,Ernst & Young Aktiebolag,Stockholm,2026-09-09T15:01:45,"Vill du hjälpa några av Nordens mest spännande organisationer att skapa verkligt affärsvärde med hjälp av AI och data?
 
 
Möjligheten
 
AI & Data är ett snabbt växande och prioriterat område inom EY Technology Consulting. Vi söker en senior konsult med erfarenhet av AI Engineering och modern AI-utv",https://arbetsformedlingen.se/platsbanken/annonser/31457523
31480836,Förändringsledare med AI kompetens!,SAAB Aktiebolag,Linköping,2026-09-15T16:03:11,"Vi tror att framsteg och möjligheter skapas bäst tillsammans. Välkommen till en plats där samarbete gör skillnad.
 


Din roll

Vi behöver förstärka teamet som arbetar med den senast tekniken inom AI och hur den kan nyttjas för att effektivisera genomförande av våra affärer, program och projekt. Är ",https://arbetsformedlingen.se/platsbanken/annonser/31480836
31477061,Lösningsarkitekt Data & AI,Fellowmind Sweden AB,Halmstad,2026-09-15T09:08:15,"Data har gått från att vara ett stöd till att bli en strategisk tillgång. Samtidigt förändras spelplanen snabbt. AI, moderna dataplattformar och nya arbetssätt gör att organisationer behöver tänka om, inte bara bygga om.
Det är här du kommer in.
På Fellowmind hjälper vi företag och organisationer at",https://arbetsformedlingen.se/platsbanken/annonser/31477061
31468932,Senior AI Foundry Arkitekt,Kaldryn Industries AB,Stockholm,2026-09-11T16:05:05,Vill du ta AI-lösningar från idé till säker och skalbar produktion? Vi söker en senior AI Engineer med kompetens på arkitektnivå och fokus på Microsoft Foundry. Rollen passar dig som kombinerar djup teknisk förståelse med förmågan att omsätta verksamhetsbehov till lösningar som skapar konkret nytta.,https://arbetsformedlingen.se/platsbanken/annonser/31468932
31467618,AI Builder - Fullstack,UNIK Resurs i Sverige AB,Kalmar,2026-09-11T14:03:53,"Företagspresentation

 
Vill du arbeta med AI-driven mjukvaruutveckling på riktigt – och ta ansvar hela vägen från verksamhetsbehov till fungerande lösning i produktion?
 
Ikama söker nu en senior och nyfiken Fullstack AI builder (Senior Software Engineer) som vill kombinera gedigen utvecklarkompete",https://arbetsformedlingen.se/platsbanken/annonser/31467618
